"RefDes","Name","Value"
"C1","CAP_0805",""
"C2","CAP_0805",""
"C3","CAP_0805",""
"C4","CAP_POLARIZED1",""
"C5","CAP_0805",""
"C6","CAP_1825",""
"C8","CAP_0805",""
"C9","CAP_0805",""
"C10","CAP_0805",""
"C11","CAP_0805",""
"C12","CAP_0805",""
"C13","CAP_0805",""
"J1","JUMPER",""
"J2","JUMPER",""
"J3","HDR-1x8",""
"J4","HDR-1x8",""
"J5","HDR-1x6H",""
"J6","HDR-1x4",""
"J12","HDR-1x2",""
"J14","HDR-1x9",""
"J15","HDR-1x9",""
"LS2","AI-1223-TWT-5V-R",""
"Q2","BSH108",""
"R3","RES_0805",""
"R4","RES_0805",""
"R5","RES_0805",""
"U1","PIC18F26K40-I/SO",""
"U3","ISL83491EIB",""
"U4","SHT15",""
"U5","BMP280",""
"U6","LT1117IST-3.3",""
"U7","DS18B20-PAR",""
"U8","MAX485EPA",""
"Y1","ECS-120-32-1",""
